deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
27,200,0,800,6500,326900,0,0,30000,0,0,0,0,0.0,0,0.0,FLOODS,1978-03-02,1978-03-07,1978-03-07
5,20,0,0,0,0,8000,0,0,0,77000000,0,0,30.0,0,0.0,FLOODS,1978-03-18,1978-03-23,1978-03-23
0,0,0,0,0,10000,0,8000,0,0,0,0,0,0.0,0,0.0,FLOODS,1978-05-06,1978-05-11,1978-05-11
0,0,0,7,0,0,0,0,48,0,0,0,0,0.0,0,0.0,FLOODS,1978-05-22,1978-05-27,1978-05-27
1,0,0,1,0,120,0,0,3000,0,5000000,0,0,0.0,0,0.0,FLOODS,1978-05-31,1978-06-05,1978-06-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1978-06-19,1978-06-24,1978-06-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1978-06-30,1978-07-05,1978-07-05
0,0,0,0,150,0,10000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1978-08-01,1978-08-06,1978-08-06
0,0,0,0,100,50,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1978-08-27,1978-09-01,1978-09-01
0,0,0,44,0,30000,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1978-09-07,1978-09-12,1978-09-12
4,0,24,1362,10830,82200,0,0,4800,0,50000000,0,0,0.0,0,0.0,FLOODS,1978-09-23,1978-09-28,1978-09-28
0,0,0,0,0,0,0,0,0,0,35000000,0,0,0.0,0,0.0,FLOODS,1978-10-01,1978-10-06,1978-10-06
3,0,40,800,0,0,0,0,5000,0,0,0,0,0.0,0,0.0,FLOODS,1978-10-22,1978-10-27,1978-10-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1978-12-20,1978-12-25,1978-12-25
0,0,0,0,0,0,0,0,0,0,45000000,0,0,0.0,275,0.0,FLOODS,1979-01-05,1979-01-10,1979-01-10
0,0,0,0,50,0,0,0,200,0,0,0,0,0.0,0,0.0,FLOODS,1979-01-14,1979-01-19,1979-01-19
0,0,0,0,2000,0,308000,0,10120,0,500000000,0,0,0.0,0,0.0,FLOODS,1979-01-21,1979-01-26,1979-01-26
2,0,0,0,0,0,200,0,80,0,0,0,0,0.0,0,0.0,FLOODS,1979-01-28,1979-02-02,1979-02-02
1,12,3,0,0,25000,22300,0,0,0,15000000,0,0,18000.0,0,0.0,FLOODS,1979-02-03,1979-02-08,1979-02-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1979-04-21,1979-04-26,1979-04-26
0,0,0,0,0,0,0,0,0,0,0,0,0,500.0,0,0.0,FLOODS,1979-06-01,1979-06-06,1979-06-06
0,0,0,0,0,0,0,0,0,0,1000000000,0,0,0.0,0,0.0,FLOODS,1979-06-09,1979-06-14,1979-06-14
0,9,0,0,120,0,480,0,0,0,0,1,0,0.0,0,0.0,FLOODS,1979-06-29,1979-07-04,1979-07-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1979-07-10,1979-07-15,1979-07-15
0,10,0,0,0,0,0,0,80,0,0,0,0,0.0,0,0.0,FLOODS,1979-07-26,1979-07-31,1979-07-31
2,156,0,49,200,2500,40800,0,50,0,50000000,0,0,0.0,0,0.0,FLOODS,1979-08-06,1979-08-11,1979-08-11
9,30,0,0,0,0,4600,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1979-08-12,1979-08-17,1979-08-17
1,8,0,0,1100,2000,118000,0,2000,0,0,0,0,200000.0,400000,140000.0,FLOODS,1979-08-26,1979-08-31,1979-08-31
2,5,0,9,700,0,725000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1979-09-07,1979-09-12,1979-09-12
75,254,4,22,11905,84550,550,0,8800,0,137000000,0,0,13000.0,12000,0.0,FLOODS,1979-09-13,1979-09-18,1979-09-18
0,0,1,0,1600,13500,0,0,0,0,70000000,0,0,52500.0,0,40000.0,FLOODS,1979-09-20,1979-09-25,1979-09-25
6,0,0,6,0,0,0,0,0,0,0,0,0,2000.0,0,0.0,FLOODS,1979-09-29,1979-10-04,1979-10-04
3,0,20,0,0,30000,0,0,100000,0,2000000000,0,0,0.0,0,0.0,FLOODS,1980-01-31,1980-02-05,1980-02-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1980-02-14,1980-02-19,1980-02-19
2,0,0,0,0,0,4000,0,0,0,200000000,0,0,0.0,0,0.0,FLOODS,1980-02-20,1980-02-25,1980-02-25
3,28,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1980-05-18,1980-05-23,1980-05-23
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1980-07-09,1980-07-14,1980-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1980-07-23,1980-07-28,1980-07-28
2,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1980-08-13,1980-08-18,1980-08-18
14,4,40,258,105,0,0,0,0,0,50000000,0,0,0.0,0,0.0,FLOODS,1980-08-28,1980-09-02,1980-09-02
2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1980-09-06,1980-09-11,1980-09-11
5,0,0,0,0,55000,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1980-09-25,1980-09-30,1980-09-30
0,0,0,0,0,0,12500,0,0,0,0,0,0,5000.0,4000,0.0,FLOODS,1980-10-01,1980-10-06,1980-10-06
4,0,0,0,3000,20000,0,0,5000,0,0,0,0,8362.0,0,0.0,FLOODS,1980-10-16,1980-10-21,1980-10-21
0,0,0,0,0,12800,0,0,0,0,0,0,0,31000.0,0,0.0,FLOODS,1980-10-31,1980-11-05,1980-11-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1981-01-08,1981-01-13,1981-01-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1981-01-20,1981-01-25,1981-01-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1981-02-13,1981-02-18,1981-02-18
8,0,0,0,52,52400,0,0,10000,0,2000000,0,0,10600.0,0,0.0,FLOODS,1981-06-14,1981-06-19,1981-06-19
2,0,0,10,0,124540,0,0,0,0,10000000,0,0,1000.0,0,0.0,FLOODS,1981-06-22,1981-06-27,1981-06-27
3,0,0,0,0,0,5000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1981-07-01,1981-07-06,1981-07-06
0,0,0,0,0,0,0,0,1600,0,18000000,0,0,5000.0,100,0.0,FLOODS,1981-07-09,1981-07-14,1981-07-14
0,0,0,200,0,3026,0,0,40,0,0,0,0,0.0,0,0.0,FLOODS,1981-07-15,1981-07-20,1981-07-20
8,0,12,32,32,10000,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1981-08-09,1981-08-14,1981-08-14
1,0,2,15,0,0,0,0,2000,0,60000000,0,0,103000.0,0,0.0,FLOODS,1981-08-20,1981-08-25,1981-08-25
9,0,1,50,13,1000000,0,0,592,0,650000000,0,0,526300.0,0,0.0,FLOODS,1981-08-26,1981-08-31,1981-08-31
0,0,0,0,0,15000,0,0,0,0,200000000,0,0,0.0,0,0.0,FLOODS,1981-09-01,1981-09-06,1981-09-06
3,0,0,0,0,0,0,0,3000,0,0,0,0,200.0,0,0.0,FLOODS,1981-09-07,1981-09-12,1981-09-12
0,10,0,80,0,55000,0,0,10000,0,0,0,0,0.0,0,0.0,FLOODS,1981-09-22,1981-09-27,1981-09-27
70,0,0,18000,0,65000,0,0,15000,0,0,0,0,60000.0,1600,0.0,FLOODS,1981-10-08,1981-10-13,1981-10-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-03-13,1982-03-18,1982-03-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-04-28,1982-05-03,1982-05-03
0,25,0,12,0,0,0,0,100,0,0,0,0,300.0,0,0.0,FLOODS,1982-05-17,1982-05-22,1982-05-22
0,0,0,0,5000,0,1000000,0,0,0,0,0,0,0.0,0,300.0,FLOODS,1982-05-26,1982-05-31,1982-05-31
0,0,0,0,0,0,0,0,1200,0,0,0,0,0.0,0,0.0,FLOODS,1982-06-12,1982-06-17,1982-06-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-06-18,1982-06-23,1982-06-23
0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-06-26,1982-07-01,1982-07-01
0,0,0,2,78,0,4000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-07-03,1982-07-08,1982-07-08
3,0,0,0,500,2000,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-07-11,1982-07-16,1982-07-16
1,0,0,0,0,0,0,0,0,0,30000,0,0,0.0,0,0.0,FLOODS,1982-07-17,1982-07-22,1982-07-22
0,0,0,3,0,0,15000,0,0,0,0,0,0,3.5,0,0.0,FLOODS,1982-07-28,1982-08-02,1982-08-02
0,0,0,0,0,0,0,0,0,0,5000000,0,0,0.0,0,0.0,FLOODS,1982-08-03,1982-08-08,1982-08-08
0,0,0,0,0,0,0,0,0,0,50000000,0,0,0.0,0,0.0,FLOODS,1982-08-10,1982-08-15,1982-08-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-08-19,1982-08-24,1982-08-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-09-13,1982-09-18,1982-09-18
0,0,0,116,0,0,0,0,0,0,40000,0,0,0.0,0,0.0,FLOODS,1982-09-19,1982-09-24,1982-09-24
19,82,0,1,0,120000,100000,0,5000,0,300000,0,0,211.0,0,0.0,FLOODS,1982-09-30,1982-10-05,1982-10-05
1,1,0,1,0,5000,201000,0,0,0,0,0,0,500000.0,0,0.0,FLOODS,1982-10-07,1982-10-12,1982-10-12
0,0,0,0,0,0,5000,0,0,0,0,0,0,0.0,30000,0.0,FLOODS,1982-10-18,1982-10-23,1982-10-23
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-11-04,1982-11-09,1982-11-09
0,0,0,0,0,3000,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1982-11-19,1982-11-24,1982-11-24
0,0,0,0,0,0,12000,0,0,0,0,0,0,10000.0,0,0.0,FLOODS,1983-01-04,1983-01-09,1983-01-09
0,0,0,0,0,0,0,0,100,0,0,0,0,0.0,0,0.0,FLOODS,1983-02-05,1983-02-10,1983-02-10
10,0,0,0,0,0,0,0,224,0,3000000000,0,0,0.0,0,0.0,FLOODS,1983-03-01,1983-03-06,1983-03-06
0,0,0,0,0,0,0,0,400,0,0,0,0,10000.0,0,0.0,FLOODS,1983-03-07,1983-03-12,1983-03-12
0,0,0,20,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1983-04-08,1983-04-13,1983-04-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1983-05-11,1983-05-16,1983-05-16
0,0,0,4,0,0,50000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1983-05-23,1983-05-28,1983-05-28
1,15,0,0,5,0,0,0,800,0,0,0,0,0.0,0,0.0,FLOODS,1983-06-15,1983-06-20,1983-06-20
1,0,0,0,0,0,0,0,20000,0,0,0,0,200.0,0,0.0,FLOODS,1983-06-21,1983-06-26,1983-06-26
1,0,0,5,145,385,30000,0,2880,0,10000000,1,0,1000.0,0,41.0,FLOODS,1983-07-01,1983-07-06,1983-07-06
2,0,0,3,1000,11600,5000,0,0,0,300000000,0,0,147000.0,0,0.0,FLOODS,1983-07-08,1983-07-13,1983-07-13
2,0,3,30,2000,32500,0,0,80,0,0,0,1,2700.0,0,0.0,FLOODS,1983-07-14,1983-07-19,1983-07-19
0,0,0,67,0,12000,8000,0,20000,0,0,0,0,16600.0,400,0.0,FLOODS,1983-07-20,1983-07-25,1983-07-25
0,0,0,0,0,800,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1983-07-27,1983-08-01,1983-08-01
0,0,0,8,0,120,23,0,80,0,0,0,0,0.0,0,0.0,FLOODS,1983-08-03,1983-08-08,1983-08-08
4,0,0,22,420,2160,2000,0,0,0,125000000,0,0,500.0,0,0.0,FLOODS,1983-08-15,1983-08-20,1983-08-20
1,0,0,0,0,0,0,0,0,0,2000000,0,0,300.0,0,0.0,FLOODS,1983-09-02,1983-09-07,1983-09-07
3,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1983-09-12,1983-09-17,1983-09-17
0,0,0,0,0,0,12000,0,0,0,25000000,0,0,11000.0,0,0.0,FLOODS,1983-09-19,1983-09-24,1983-09-24
0,0,0,0,0,0,0,0,0,0,0,0,0,3500.0,0,0.0,FLOODS,1983-10-06,1983-10-11,1983-10-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1983-10-19,1983-10-24,1983-10-24
0,0,0,0,0,0,100,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1984-01-25,1984-01-30,1984-01-30
2,15,0,3,12,0,0,0,120,0,0,0,0,0.0,0,0.0,FLOODS,1984-05-11,1984-05-16,1984-05-16
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1984-05-31,1984-06-05,1984-06-05
